Time,Temperature 1,Photoresistor Value,Humidity,Temperature 2,Plant1Moisure,Plant2Moisure
2020-07-01 02:11:36.837688,28.562,243,43,29,128,127
2020-07-01 02:11:40.677652,28.562,243,43,29,128,127
2020-07-01 02:11:44.517667,28.562,243,41,28,128,126
2020-07-01 02:11:48.356016,28.562,243,42,28,128,127
2020-07-01 02:11:52.197176,28.562,243,43,29,128,127
2020-07-01 02:11:56.037162,28.625,243,42,28,128,126
2020-07-01 02:11:59.877178,28.562,243,42,28,128,127
2020-07-01 02:12:03.717246,28.562,243,43,29,128,126
2020-07-01 02:12:07.557160,28.562,243,42,28,128,127
2020-07-01 02:12:11.397163,28.625,243,42,28,128,127
2020-07-01 02:12:15.237144,28.562,243,42,28,128,127
2020-07-01 02:12:19.076021,28.562,243,42,28,128,127
2020-07-01 02:12:22.917170,28.562,243,43,29,128,126
2020-07-01 02:12:26.756249,28.562,243,43,29,128,126
2020-07-01 02:12:30.597690,28.562,254,43,29,128,127
2020-07-01 02:12:34.437640,28.562,243,43,29,128,127
2020-07-01 02:12:38.277635,28.625,243,42,28,128,126
2020-07-01 02:12:42.117240,28.625,243,42,28,128,126
2020-07-01 02:12:45.957255,28.625,243,42,28,128,127
2020-07-01 02:18:05.874271,28.312,243,42,28,128,127
2020-07-01 02:18:23.209165,28.312,243,42,28,128,126
2020-07-01 02:18:40.568925,28.25,243,43,28,127,126
2020-07-01 02:18:57.849024,28.312,243,42,28,128,127
2020-07-01 02:19:15.128952,28.312,243,42,28,128,126
2020-07-01 02:19:32.408754,28.312,243,43,28,127,127
2020-07-01 02:19:49.688976,28.375,243,43,28,127,127
2020-07-01 02:20:06.969188,28.312,243,44,28,128,126
2020-07-01 02:20:24.249162,28.312,243,43,28,128,127
2020-07-01 02:20:41.529177,28.312,243,42,28,128,126
2020-07-01 02:29:02.434226,28.5,235,42,28,126,126
2020-07-01 02:29:19.689274,28.437,235,42,28,126,127
2020-07-01 02:29:37.049226,28.437,235,42,28,126,126
2020-07-01 02:29:54.329302,28.437,244,42,28,126,126
2020-07-01 02:30:11.609210,28.437,237,42,28,126,126
2020-07-01 02:30:28.889197,28.437,237,44,28,126,126
2020-07-01 02:30:46.173154,28.5,237,43,28,126,126
2020-07-01 02:35:15.794215,28.562,237,43,28,126,126
2020-07-01 03:35:18.134833,25.875,255,43,28,53,125
2020-07-01 04:35:20.535311,25.812,255,44,26,53,126
2020-07-01 05:35:22.934241,25.187,255,43,28,54,126
2020-07-01 06:35:25.239738,25.312,232,43,28,54,126
2020-07-01 07:35:27.654043,26.0,194,46,25,54,127
2020-07-01 08:35:29.974219,26.687,210,45,26,53,127
2020-07-01 09:26:43.234263,26.625,189,46,26,53,127
2020-07-01 10:26:45.574382,26.437,219,44,27,53,128
2020-07-01 11:26:47.974221,27.562,197,44,26,52,128
2020-07-01 12:26:50.297137,27.562,203,41,27,52,128
2020-07-01 13:26:52.694296,27.687,220,40,27,52,128
2020-07-01 14:26:55.094221,27.687,212,40,27,52,128
2020-07-01 15:26:57.494212,28.0,219,36,27,52,128
2020-07-01 16:26:59.894218,28.187,222,33,28,52,129
2020-07-01 17:27:02.294259,28.187,222,35,28,52,129
2020-07-01 18:27:04.694208,28.187,232,36,28,52,129
2020-07-01 19:27:07.094246,28.312,236,36,28,52,129
2020-07-01 20:27:09.433320,27.937,253,36,28,53,130
2020-07-01 21:27:11.814228,27.75,255,36,28,53,130
2020-07-01 22:27:14.214210,27.437,255,46,26,53,130
2020-07-01 23:27:16.614197,27.125,255,36,27,53,131
2020-07-02 00:27:19.014273,26.375,255,35,27,54,131
2020-07-02 01:27:21.414231,27.312,249,34,26,53,132
2020-07-02 02:27:23.753323,27.187,255,32,27,53,132
